languages_game,languages_CN,languages_TC,languages_EN
,,,
游戏内语言,简体中文,繁体中文,英文
连接服务器...,连接服务器...,連接服務器...,Connecting to server...
检查本地文件...,检查本地文件...,檢查本地文件...,Checking local files...
进入壁垒...,进入壁垒...,進入壁壘...,Enter Shelter...
检查更新,检查更新,檢查更新,Check update
加载更新文件,加载更新文件,加載更新文件,Load update file
下载更新...,下载更新...,下載更新...,Downloading updates...
下载更新资源...100%,下载更新资源...100%,下載更新資源...100%,Downloading update resources...（100%）
检查更新...,检查更新...,檢查更新...,Check update...
更新配置…,更新配置...,更新配置...,Update config...
加载文件,加载文件,加載文件,load file
加载文件中，请耐心等待！,加载文件中，请耐心等待！,加載文件中，請耐心等待！,Loading file.Please be patient!
