chinese_,chinese
带下划线的中文,中文
刷新,刷新
8小时,8小時
领取奖励！,領取獎勵！
下个任务倒计时：,下個任務倒計時：
布置桌子,布置桌子
待办任务,待辦任務
完成奖励,完成獎勵
仓库,倉庫
装备,裝備
材料,材料
其他,其他
排序方式：最近,排序方式：最近
容量：0/100,容量：0/100
创建列表,創建列表
创建报价,創建報價
在市场上列出物品，供其他玩家购买。,在市場上列出物品，供其他玩家購買。
创建请求,創建請求
在市场上请求物品，供任意玩家满足。,在市場上請求物品，供任意玩家滿足。
创建联盟请求,創建聯盟請求
从您的联盟请求物品。（最多一个列表）,從您的聯盟請求物品。（最多一個列表）
报价,報價
数量：,數量：
剩余：1,剩余：1
价格（单价）：,價格（單價）：
交易最低价值：,交易最低價值：
持续时间：,持續時間：
12小时,12小時
取消,取消
距离到期还有,距離到期還有
将物品重新上架,將物品重新上架
解锁冒险栏位吗？,解鎖冒險欄位嗎？
派出更多小队参加冒险！,派出更多小隊參加冒險！
可用冒险栏位,可用冒險欄位
或,或
可用等级：,可用等級：
新币解锁,新幣解鎖
确认解锁,確認解鎖
解锁制作栏位吗？,解鎖製作欄位嗎？
同时制作或合成更多物品！,同時製作或合成更多物品！
可用制作栏,可用製作欄
更改用户名,更改用戶名
输入新名称,輸入新名稱
你可以免费更换一次用户名。,你可以免費更換一次用戶名。
之后每次更改将花费50金条。,之後每次更改將花費50金條。
改名,改名
名称不能为空,名稱不能為空
聊天,聊天
世界,世界
联盟,聯盟
系统,系統
输入文本,輸入文本
无新通知,無新通知
研究各项工艺，提升你的实力,研究各項工藝，提升你的實力
巫师楼塔,巫師樓塔
投资此行业将加速资源生产。,投資此行業將加速資源生產。
当前产量,當前產量
改造后,改造後
138<color="ffffff">/小时</color>,138<color="ffffff">/小時</color>
<size=26>联盟技术</size>,<size=26>聯盟技術</size>
改造所需次数,改造所需次數
改造,改造
统计上回联盟内所有成员的铁矿厂改造次数，改造次数越多，共享奖励加成越多,統計上回聯盟內所有成員的鐵礦廠改造次數，改造次數越多，共享獎勵加成越多
联盟成员,聯盟成員
改造花费,改造花費
联盟技术共享,聯盟技術共享
升级完成！,升級完成！
最高工人等级,最高工人等級
继续,繼續
冒险,冒險
就绪,就緒
店铺,店鋪
英雄,英雄
市场,市場
搜索,搜索
跳过,跳過
收集!,收集!
家具名称,家具名稱
资源,資源
已售空,已售空
已拥有,已擁有
解锁等级：,解鎖等級：
新家具现已开放购买!,新家具現已開放購買!
来解锁！,來解鎖！
确定,確定
墙纸解锁,墻紙解鎖
内容种类,內容種類
外观选择,外觀選擇
开始游戏,開始遊戲
自定义店主形象！,自定義店主形象！
外观,外觀
选择一个名称,選擇一個名稱
装修,裝修
地板,地板
墙纸,墻紙
铁血战靴,鐵血戰靴
图纸,圖紙
里程碑,裏程碑
工匠,工匠
不管它来自什么地方，都注定能拯救世界。,不管它來自什麽地方，都註定能拯救世界。
制作,製作
里程碑升级,裏程碑升級
到达制作里程碑来解锁此图纸的升级。,到達製作裏程碑來解鎖此圖紙的升級。
每次升级都可以获得更多的研究卷轴！,每次升級都可以獲得更多的研究卷軸！
价格提升,價格提升
布甲,布甲
普通品质,普通品質
生命,生命
攻击,攻擊
防御,防禦
速度,速度
命中,命中
闪避,閃避
暴击,暴擊
韧性,韌性
穿刺伤害,穿刺傷害
穿刺抗性,穿刺抗性
燃烧伤害,燃燒傷害
燃烧抗性,燃燒抗性
精神伤害,精神傷害
精神抗性,精神抗性
电击伤害,電擊傷害
电击抗性,電擊抗性
辐射伤害,輻射傷害
辐射抗性,輻射抗性
制造,製造
总览,總覽
武器,武器
防具,防具
最近,最近
收藏,收藏
精通,精通
未解锁,未解鎖
冒险完成!,冒險完成!
奖励,獎勵
收集,收集
收集全部,收集全部
如果冒险太困难，试试用更强的装备武装您的英雄。,如果冒險太困難，試試用更強的裝備武裝您的英雄。
区域已解锁,區域已解鎖
解锁于：,解鎖於：
提高你的冒险地点等级来解锁升级！,提高你的冒險地點等級來解鎖升級！
探险,探險
可挑战,可挑戰
探索时间：,探索時間：
简单难度,簡單難度
探索,探索
使用道具强化本次战斗,使用道具強化本次戰鬥
队伍战力：,隊伍戰力：
推荐战力：,推薦戰力：
看来这次任务非常简单,看來這次任務非常簡單
实力相差悬殊，看样子这次回不来了~,實力相差懸殊，看樣子這次回不來了~
选择小队,選擇小隊
推荐战力,推薦戰力
恢复所有英雄,恢復所有英雄
点击恢复,點擊恢復
休息中,休息中
解锁冒险,解鎖冒險
解锁,解鎖
选择强化,選擇強化
立即打开,立即打開
正在扩建,正在擴建
立即完成,立即完成
店铺扩建已解锁！,店鋪擴建已解鎖！
扩建店铺,擴建店鋪
店铺空间,店鋪空間
家具空间,家具空間
升级所需时间,升級所需時間
扩建,擴建
立即扩建,立即擴建
确定扩建？,確定擴建？
通知内容,通知內容
家具,家具
货架,貨架
资源篮,資源籃
店内装饰,店內裝飾
店外装饰,店外裝飾
地毯,地毯
用,用
已解锁,已解鎖
仓库容量,倉庫容量
确认,確認
能量上限,能量上限
容量,容量
大小,大小
升级时间,升級時間
升级,升級
内容,內容
立即升级,立即升級
确定升级？,確定升級？
赶工,趕工
确定赶工？,確定趕工？
完成升级,完成升級
已升至最高级,已升至最高級
家具升级,家具升級
用户名,用戶名
获得新英雄,獲得新英雄
资质：,資質：
生命：,生命：
攻击：,攻擊：
防御：,防禦：
速度：,速度：
可装备,可裝備
天赋,天賦
职业技能,職業技能
点击制作按钮,點擊製作按鈕
你好，欢迎来到我的商店，需要什么装备，我很乐意为你效劳,你好，歡迎來到我的商店，需要什麽裝備，我很樂意為你效勞
店长的柜台,店長的櫃臺
明白了,明白了
免费,免費
地下城升级,地下城升級
升级！,升級！
转职成功！,轉職成功！
物品栏,物品欄
点击查看,點擊查看
缺少要求,缺少要求
缺少资源,缺少資源
错误,錯誤
无法与服务器建立连接。请检查您的网络。,無法與伺服器建立連接。請檢查您的網絡。
重试,重試
