languages_game,languages_CN,languages_TC,languages_EN
,,,
游戏内语言,简体中文,繁体中文,英文
连接服务器...,连接服务器...,連接服務器...,Connecting to server...
检查本地文件...,检查本地文件...,檢查本地文件...,Checking local files...
进入壁垒...,进入壁垒...,進入壁壘...,Enter Shelter...
检查更新,检查更新,檢查更新,Check update
加载更新文件,加载更新文件,加載更新文件,Load update file
下载更新...,下载更新...,下載更新...,Downloading updates...
下载更新资源...100%,下载更新资源...100%,下載更新資源...100%,Downloading update resources...（100%）
检查更新...,检查更新...,檢查更新...,Check update...
更新配置,更新配置...,更新配置...,Update config....
无法与服务器建立连接。请检查您的网,无法与服务器建立连接。请检查您的网,無法與服務器建立連接。請檢查您的網,Can't connect to the server. Please check your network.
客户端版本过旧，请更新最新的客户端安装包！,客户端版本过旧，请更新最新的客户端安装包！,客戶端版本過舊，請更新最新的客戶端安裝包！,The version is too old， and please update the latest client!
发现游戏新内容，请重启游戏更新！,发现游戏新内容，请重启游戏更新！,發現遊戲新內容，請重啟遊戲更新！,New content available， and please restart the game to update!
与服务器连接中断,与服务器连接中断,與服務器連接中斷,Lost connection to server
确定,确定,確定,Confirm
通知,通知,通知,Notification
提示,提示,提示,Tips
您的账号在其它设备登陆！,您的账号在其它设备登陆！,您的賬號在其它設備登陸！,Your account is logged in on other devices!
登录服务器,登录服务器,登錄服務器,Log in the server
